Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
fixot-brendan-MS-7C02;8071;8122;0.080726996064186;367570;0.059999987483025;0;0.12787599861622;0;1745708979;0;0;239694;0;0;100.00001166802;11.999998399815;0.032418999820948;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8135;0.10469400137663;513653;0.11000000685453;0;0.26831901073456;0;1745708979;0;4.5454538015669;245334;4.5454538015669;0;86.363622229771;22.000003600417;0.064341999590397;0;1745708979;0;4.5454538015669;
fixot-brendan-MS-7C02;8071;8491;0.13116699457169;166958;0.10999999940395;0;0.13795000314713;0;1745708981;0;0;29008;0;0;95.454536775855;22.000002000232;0.091908000409603;0;1745708981;0;4.5454541321836;
fixot-brendan-MS-7C02;8071;8357;0;901323;0.014999998733401;0;0.48914501070976;0;1745708980;0;0;412178;0;0;100;3;0.007333000190556;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8443;0.092502996325493;894598;0.14000003039837;0;0.3589900135994;0;1745708980;0;0;535608;3.5714276529551;0;96.428543057946;28.000007200834;0.22715100646019;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8162;0.23205800354481;684639;0.10999999940395;4.5454541321836;0.39842700958252;0;1745708979;0;4.5454541321836;286212;0;0;90.909080825279;22.000002000232;0.20144699513912;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8220;0;294572;0.014999998733401;33.333333333333;0.49744400382042;0;1745708980;0;0;797128;0;0;66.666666666667;3;0;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8284;0.10403399914503;294251;0.12500001490116;0;0.40023300051689;0;1745708980;0;0;894018;0;0;99.999975997226;25.000005400625;0.16180500388145;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8391;0.062380999326706;604116;0.054999988526106;0;0.13331699371338;0;1745708980;0;0;470799;0;0;100.00001272875;10.999998599838;0.034343000501394;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8452;0.14463700354099;921484;0.16000001132488;0;0.35562899708748;0;1745708980;0;0;565855;0;3.1249993749277;93.749978747543;32.000006400741;0.056256998330355;0;1745708980;0;3.1249993749277;
fixot-brendan-MS-7C02;8071;8453;0;858429;0.044999990612268;0;0.29001399874687;0;1745708980;0;0;568415;0;0;100.0000111124;8.9999989998842;0.19526199996471;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8469;0.0084629999473691;260178;0.014999998733401;0;0.26885798573494;0;1745708981;0;0;991320;0;33.333333333333;66.666666666667;3;0.0084629999473691;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8444;0.2661660015583;831633;0.11499999463558;4.3478258978987;0.29596799612045;0;1745708980;0;0;535665;0;0;91.304342116541;23.000001000116;0.11190800368786;0;1745708980;0;4.3478258978987;
fixot-brendan-MS-7C02;8071;8215;0.0052310000173748;405855;0.01999999769032;0;0.6088610291481;0;1745708980;0;0;796994;0;25;75;4;0.0052310000173748;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8083;0.009085999801755;747342;0.01999999769032;0;0.58121699094772;0;1745708979;0;0;166125;0;0;100;4;0.009085999801755;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8285;0.25735399127007;220792;0.094999991357327;5.2631578393288;0.32672899961472;0;1745708980;0;0;894063;0;5.2631578393288;89.473683268589;19.000000200023;0.1395879983902;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8271;0.19343100488186;352562;0.094999998807907;0;0.4711599946022;0;1745708980;0;0;881402;0;0;99.99999052522;19.000001800208;0.09918700158596;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8164;0.090822994709015;713608;0.084999993443489;0;0.42587798833847;0;1745708979;0;0;287730;0;5.88235273354;88.2352910031;17.000000600069;0.0867889970541;0;1745708979;0;5.88235273354;
fixot-brendan-MS-7C02;8071;8155;0.070019997656345;574806;0.16500000655651;0;0.30397999286652;0;1745708979;0;0;270826;0;0;99.999989089647;33.00000380044;0.070019997656345;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8320;0.014426000416279;243568;0.059999987483025;8.3333344445733;0.32631000876427;0;1745708980;0;0;917258;8.3333344445733;0;83.333344445733;11.999998399815;0.22426700592041;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8187;0.22694900631905;608028;0.15999999642372;0;0.30242699384689;0;1745708979;0;0;305601;0;0;96.874988436162;32.000003200371;0.053369000554085;0;1745708979;0;3.1249996874638;
fixot-brendan-MS-7C02;8071;8461;0.2208250015974;950571;0.11500000208616;0;0.37211498618126;0;1745708980;0;4.3478255954063;578456;0;0;95.652163098938;23.000002600301;0.20624199509621;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8071;2.2430520057678;381553;0.14500001072884;0;2.2583820819855;6.8965506300756;1745708981;6.8965506300756;3.4482753150378;123171;0;0;82.758607560907;29.000004600533;2.1030240058899;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8270;0.26192301511765;340617;0.10999999940395;4.5454541321836;0.46295100450516;0;1745708980;0;4.5454541321836;877666;0;0;90.909082643672;22.000002000232;0.22273999452591;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8309;0.10229399800301;360103;0.11500000953674;0;0.44451200962067;0;1745708980;0;4.3478252929139;915591;0;0;95.652155574439;23.000004200486;0.036573000252247;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8163;0.030393999069929;778896;0.14000003039837;3.5714276529551;0.49257400631905;0;1745708979;0;0;286322;0;0;96.428544486683;28.000007200834;0.048415001481771;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8505;0.043255001306534;219293;0.10500000417233;0;0.16110199689865;0;1745708981;0;0;58191;0;0;99.999984760142;21.000003000347;0.043255001306534;0;1745708981;0;0;
fixot-brendan-MS-7C02;8071;8473;0.018100000917912;260213;0.014999998733401;0;0.26488798856735;0;1745708981;0;0;995325;0;0;100;3;0.018100000917912;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8082;0.032106999307871;756536;0.024999996647239;0;0.59049999713898;0;1745708979;0;0;166036;0;0;100.00000400046;4.9999997999768;0.026998000219464;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8462;0.17585399746895;982921;0.10500000417233;0;0.40443500876427;0;1745708980;0;0;578486;4.761904081554;4.761904081554;90.476175644543;21.000003000347;0.17490500211716;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8223;0;334537;0.014999998733401;0;0.53357899188995;0;1745708980;0;0;800958;0;0;100;3;0;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8287;0.12016099691391;285106;0.10000000149012;0;0.38957500457764;0;1745708980;0;0;895531;0;0;99.99998599838;20.000002400278;0.062743000686169;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8081;0.0052430001087487;796918;0.014999998733401;0;0.6309739947319;0;1745708979;0;0;165944;0;33.333333333333;66.666666666667;3;0.0052430001087487;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8335;0.16542799770832;339954;0.10499999672174;0;0.40215900540352;0;1745708980;0;4.7619044444077;937795;0;0;90.476181586273;21.000001400162;0.18271599709988;0;1745708979;0;4.7619044444077;
fixot-brendan-MS-7C02;8071;8143;0.079546004533768;665256;0.11000000685453;0;0.41376200318336;0;1745708979;4.5454538015669;0;251494;0;0;95.454529832904;22.000003600417;0.045779999345541;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8090;0.0088290004059672;739369;0.014999998733401;0;0.56632500886917;0;1745708979;0;0;173044;0;0;100;3;0.0088290004059672;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8134;0.42467200756073;756390;0.10999999940395;4.5454541321836;0.51108902692795;0;1745708979;0;0;245301;4.5454541321836;0;90.909082643672;22.000002000232;0.31341099739075;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8172;0.14911699295044;723411;0.12500001490116;3.9999991359001;0.4314090013504;0;1745708979;0;0;292002;0;0;95.999979261603;25.000005400625;0.10011900216341;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8177;0.087999001145363;681178;0.064999982714653;0;0.38796898722649;0;1745708979;0;0;293209;0;0;100.00001384776;12.999998199792;0.15292599797249;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8272;0.11753599345684;312978;0.074999988079071;0;0.4315240085125;0;1745708980;0;0;881454;0;0;93.333337067099;14.999999399931;0.20491500198841;0;1745708979;0;6.6666669333642;
fixot-brendan-MS-7C02;8071;8286;0.048340998589993;168804;0.034999992698431;0;0.27332499623299;0;1745708980;0;0;895479;0;0;100.00000857242;6.9999993999305;0.038479998707771;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8336;0.11622500419617;346241;0.099999986588955;0;0.40841901302338;0;1745708980;0;0;937822;0;0;100.00000200023;19.999999199907;0.092018000781536;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8506;0.11453399807215;193242;0.11500000208616;4.3478255954063;0.13502599298954;0;1745708981;0;0;58216;0;4.3478255954063;91.304337503532;23.000002600301;0.11453399807215;0;1745708981;0;0;
fixot-brendan-MS-7C02;8071;8228;0.0095130000263453;294520;0.014999998733401;0;0.49187099933624;0;1745708980;0;0;802649;0;0;100;3;0.0095130000263453;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8490;0.12173500657082;189976;0.10000000149012;0;0.16099600493908;0;1745708981;0;4.9999993999306;28980;4.9999993999306;0;89.999988198635;20.000002400278;0.10397800058126;0;1745708981;0;0;
fixot-brendan-MS-7C02;8071;8392;0.18007001280785;934476;0.12500001490116;0;0.46362799406052;0;1745708980;0;3.9999993919297;470848;0;0;95.999985406312;25.00000380044;0.17701500654221;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8480;0.043749999254942;143123;0.059999991208315;0;0.11777900159359;0;1745708981;0;0;25344;0;0;100.00000666744;11.999999199907;0.043749999254942;0;1745708981;0;0;
fixot-brendan-MS-7C02;8071;8273;0.15187999606133;182855;0.074999988079071;0;0.30114299058914;0;1745708980;0;0;881712;0;0;100.00000400046;14.999999399931;0.046415001153946;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8305;0.19676499068737;248717;0.11000000685453;4.5454538015669;0.338643014431;0;1745708980;0;0;910074;0;0;95.454528923708;22.000003600417;0.085413001477718;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8321;0.13140800595284;240781;0.10499999672174;0;0.32349398732185;0;1745708980;0;4.7619044444077;917287;0;0;95.238089840645;21.000001400162;0.099586002528667;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8353;0.010874999687076;990389;0.014999998733401;0;0.58004802465439;0;1745708980;0;0;410341;0;0;100;3;0.010874999687076;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8401;0.16357699036598;857106;0.069999985396862;0;0.37897101044655;0;1745708980;0;0;478135;0;0;100.00000571495;13.999998799861;0.0954509973526;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8417;0.22310300171375;731738;0.094999998807907;0;0.24551400542259;0;1745708980;0;0;486224;0;0;99.999989472466;19.000001800208;0.17525100708008;0;1745708980;0;0;
