scaling,mpi_ranks,omp_threads,n_estimators,max_depth,criteria,which_loss_function,train_time_mean,train_time_std,eval_time_mean,eval_time_std,mse_mean,mse_std,mae_mean,mae_std
strong,4,5,200,10,0,0,7.098433333333333,0.1968593782938019,0.09992649999999999,0.008288898730631628,2.3235566666666665e-05,3.489724853846735e-07,0.0029214933333333334,1.6264565438058506e-05
strong,4,6,200,10,0,0,6.901253333333334,0.899915707916889,0.23546333333333333,0.1863513768920304,2.443896666666667e-05,1.3424611535865354e-06,0.0029569166666666667,5.020400338175796e-05
strong,5,1,200,10,0,0,27.9766,0.0632228334280151,0.0894678,0.00014630905645242922,2.3083766666666667e-05,3.45246678316952e-07,0.0029301799999999997,1.6793159321580888e-05
strong,5,2,200,10,0,0,17.519366666666667,0.05602691813365824,0.054746866666666665,0.029347536491766316,2.3415999999999997e-05,8.399289652504277e-08,0.0029399866666666667,1.1407694284511968e-05
strong,5,3,200,10,0,0,9.68258,0.22893615747627083,0.059986866666666666,0.022896644877409923,2.3027966666666667e-05,8.67092599181629e-07,0.0029372433333333336,2.1430657686802073e-05
strong,5,4,200,10,0,0,8.80807,0.1421698824177142,0.08186413333333332,0.019094509025953565,2.2973433333333336e-05,8.866881839494399e-07,0.00292603,2.495092917441472e-05
strong,5,5,200,10,0,0,6.971466666666667,0.206529475270615,0.09168953333333334,0.0217425902635562,2.3515966666666666e-05,9.114160752489626e-07,0.002959416666666666,4.335918305913481e-05
strong,5,6,200,10,0,0,7.475076666666666,0.5352850326279968,0.14462453333333333,0.0644388905090362,2.415473333333333e-05,4.289293207770037e-07,0.0029690066666666665,1.0355965537902284e-05
strong,6,1,200,10,0,0,28.776300000000003,0.052069376796730876,0.08948633333333333,1.6943500884473346e-05,2.3301233333333337e-05,4.2118916045986874e-07,0.0029125833333333334,3.056471749510465e-05
strong,6,2,200,10,0,0,17.330333333333332,0.050289848765818546,0.0774827,0.018636092099471924,2.28095e-05,2.8162728324270454e-07,0.0029186999999999998,4.131884154555594e-06
strong,6,3,200,10,0,0,9.782293333333334,0.1532916804294636,0.0576288,0.023793106716161864,2.36691e-05,8.15961155121166e-07,0.002942586666666667,3.900704751138627e-05
strong,6,4,200,10,0,0,8.74325,0.3957498779111207,0.0737687,0.01850838859778632,2.3359799999999996e-05,6.597913761182397e-07,0.0029312266666666666,1.9762134387650515e-05
strong,6,5,200,10,0,0,7.077746666666666,0.12132766277958035,0.08481383333333332,0.004228968971536942,2.2869766666666666e-05,5.909109032295441e-07,0.00291464,2.215826256726833e-05
strong,6,6,200,10,0,0,7.519216666666666,0.044089714850014124,0.09805023333333333,0.010971268033772982,2.4177333333333333e-05,4.227898558648528e-07,0.0029454466666666668,1.3636855290800058e-05
weak,1,1,200,10,0,0,4.13783,0.018274464880446165,0.015655933333333334,0.00019702379438929545,0.0002994303333333333,4.983653902732636e-06,0.008385583333333333,0.0001779250127316433
